"name","gene","Sample1","Sample2","Sample3","Sample4","Sample5","Sample6"
"gene-SAUSA300_RS00630","gene-SAUSA300_RS00630",4,4,0,5,5,4
"gene-SAUSA300_RS00635","gene-SAUSA300_RS00635",6,0,6,12,6,7
"gene-SAUSA300_RS00640","gene-SAUSA300_RS00640",7,6,2,6,2,1
"gene-SAUSA300_RS00645","gene-SAUSA300_RS00645",4,1,4,10,9,8
"gene-SAUSA300_RS00650","gene-SAUSA300_RS00650",2,2,4,4,3,6
"gene-SAUSA300_RS00660","gene-SAUSA300_RS00660",0,0,0,0,0,0
"gene-SAUSA300_RS00665","gene-SAUSA300_RS00665",2,0,0,0,2,0
"gene-SAUSA300_RS00670","gene-SAUSA300_RS00670",373,312,341,925,898,1118
"gene-SAUSA300_RS00675","gene-SAUSA300_RS00675",0,0,0,0,0,0
"gene-SAUSA300_RS00680","gene-SAUSA300_RS00680",2,0,0,2,0,0
"gene-SAUSA300_RS00685","gene-SAUSA300_RS00685",0,0,0,0,0,0
"gene-SAUSA300_RS00690","gene-SAUSA300_RS00690",0,0,0,0,0,0
"gene-SAUSA300_RS00695","gene-SAUSA300_RS00695",0,0,0,0,0,0
"gene-SAUSA300_RS00700","gene-SAUSA300_RS00700",8,6,4,8,10,8
"gene-SAUSA300_RS00705","gene-SAUSA300_RS00705",8,8,8,22,14,14
"gene-SAUSA300_RS00710","gene-SAUSA300_RS00710",1496,1386,1206,315,337,315
"gene-SAUSA300_RS15960","gene-SAUSA300_RS15960",158,208,110,39,29,29
"gene-SAUSA300_RS00715","gene-SAUSA300_RS00715",17,12,17,9,16,4
"gene-SAUSA300_RS00725","gene-SAUSA300_RS00725",0,4,4,2,0,3
"gene-SAUSA300_RS00730","gene-SAUSA300_RS00730",10,22,10,20,8,20
"gene-SAUSA300_RS00735","gene-SAUSA300_RS00735",60,55,50,133,114,175
"gene-SAUSA300_RS00740","gene-SAUSA300_RS00740",233,267,336,568,466,522
"gene-SAUSA300_RS00745","gene-SAUSA300_RS00745",0,0,2,0,0,4
"gene-SAUSA300_RS00750","gene-SAUSA300_RS00750",2,0,0,0,2,0
"gene-SAUSA300_RS00755","gene-SAUSA300_RS00755",0,1,0,0,0,0
"gene-SAUSA300_RS00760","gene-SAUSA300_RS00760",6,0,0,0,1,4
"gene-SAUSA300_RS00765","gene-SAUSA300_RS00765",6,4,0,0,2,2
"gene-SAUSA300_RS00770","gene-SAUSA300_RS00770",12,8,13,8,16,6
"gene-SAUSA300_RS00775","gene-SAUSA300_RS00775",0,0,0,0,0,0
